Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTime
60:03:08:69:46:C4,-34,-39,8056,1476826629
60:03:08:69:46:C4,-34,-39,8116,1476826689
60:03:08:69:46:C4,-34,-39,8176,1476826749
60:03:08:69:46:C4,-34,-39,8236,1476826809
60:03:08:69:46:C4,-34,-39,8296,1476826869
60:03:08:69:46:C4,-34,-39,8359,1476826932
60:03:08:69:46:C4,-34,-39,8419,1476826992
60:03:08:69:46:C4,-34,-39,8479,1476827052
60:03:08:69:46:C4,-34,-39,8539,1476827112
60:03:08:69:46:C4,-34,-39,8599,1476827172
60:03:08:69:46:C4,-34,-39,8662,1476827235
60:03:08:69:46:C4,-34,-39,8722,1476827295
60:03:08:69:46:C4,-34,-39,8782,1476827355
60:03:08:69:46:C4,-34,-39,8842,1476827415
60:03:08:69:46:C4,-34,-39,8902,1476827475
60:03:08:69:46:C4,-34,-39,8962,1476827535
60:03:08:69:46:C4,-33,-38,9022,1476827595
60:03:08:69:46:C4,-34,-39,9082,1476827655
60:03:08:69:46:C4,-34,-39,9142,1476827715
60:03:08:69:46:C4,-34,-39,9205,1476827778
60:03:08:69:46:C4,-34,-39,9265,1476827838
60:03:08:69:46:C4,-34,-39,9325,1476827898
60:03:08:69:46:C4,-34,-39,9385,1476827958
60:03:08:69:46:C4,-34,-39,9445,1476828019
60:03:08:69:46:C4,-34,-39,9508,1476828082
60:03:08:69:46:C4,-34,-39,9568,1476828142
60:03:08:69:46:C4,-34,-39,9628,1476828202
60:03:08:69:46:C4,-34,-39,9688,1476828262
60:03:08:69:46:C4,-34,-39,9748,1476828322
60:03:08:69:46:C4,-34,-39,9812,1476828385
60:03:08:69:46:C4,-34,-39,9872,1476828445
60:03:08:69:46:C4,-34,-39,9932,1476828505
60:03:08:69:46:C4,-34,-39,9992,1476828565
60:03:08:69:46:C4,-34,-39,10052,1476828625
60:03:08:69:46:C4,-34,-39,10137,1476828710
60:03:08:69:46:C4,-34,-39,10197,1476828770
60:03:08:69:46:C4,-33,-38,10257,1476828830
60:03:08:69:46:C4,-33,-38,10317,1476828890
60:03:08:69:46:C4,-33,-38,10377,1476828950
60:03:08:69:46:C4,-33,-38,10440,1476829013
60:03:08:69:46:C4,-33,-38,10500,1476829073
60:03:08:69:46:C4,-33,-38,10560,1476829133
60:03:08:69:46:C4,-34,-39,10620,1476829193
60:03:08:69:46:C4,-33,-38,10680,1476829253
60:03:08:69:46:C4,-33,-38,10740,1476829313
60:03:08:69:46:C4,-33,-38,10800,1476829373
60:03:08:69:46:C4,-33,-38,10860,1476829433
60:03:08:69:46:C4,-33,-38,10920,1476829493
60:03:08:69:46:C4,-33,-38,10983,1476829556
60:03:08:69:46:C4,-33,-38,11043,1476829616
60:03:08:69:46:C4,-33,-38,11103,1476829676
60:03:08:69:46:C4,-33,-38,11163,1476829736
60:03:08:69:46:C4,-33,-38,11223,1476829796
60:03:08:69:46:C4,-33,-38,11286,1476829859
60:03:08:69:46:C4,-33,-38,11346,1476829919
60:03:08:69:46:C4,-33,-38,11406,1476829979
60:03:08:69:46:C4,-33,-38,11466,1476830039
60:03:08:69:46:C4,-33,-38,11526,1476830099
60:03:08:69:46:C4,-33,-38,11589,1476830162
60:03:08:69:46:C4,-33,-38,11649,1476830222
60:03:08:69:46:C4,-33,-38,11709,1476830282
60:03:08:69:46:C4,-33,-38,11769,1476830342
60:03:08:69:46:C4,-33,-38,11829,1476830402
60:03:08:69:46:C4,-33,-38,11916,1476830489
60:03:08:69:46:C4,-33,-38,11976,1476830549
60:03:08:69:46:C4,-33,-38,12036,1476830609
60:03:08:69:46:C4,-33,-38,12096,1476830669
60:03:08:69:46:C4,-33,-38,12156,1476830729
60:03:08:69:46:C4,-33,-38,12219,1476830792
60:03:08:69:46:C4,-33,-38,12279,1476830852
60:03:08:69:46:C4,-33,-38,12339,1476830912
60:03:08:69:46:C4,-33,-38,12399,1476830972
60:03:08:69:46:C4,-33,-38,12459,1476831032
60:03:08:69:46:C4,-33,-38,12519,1476831092
60:03:08:69:46:C4,-33,-38,12579,1476831152
60:03:08:69:46:C4,-34,-39,12639,1476831212
60:03:08:69:46:C4,-34,-39,12699,1476831272
60:03:08:69:46:C4,-34,-39,12762,1476831335
60:03:08:69:46:C4,-33,-38,12822,1476831395
60:03:08:69:46:C4,-33,-38,12882,1476831455
60:03:08:69:46:C4,-33,-38,12942,1476831515
60:03:08:69:46:C4,-33,-39,13002,1476831575
60:03:08:69:46:C4,-33,-38,13065,1476831638
60:03:08:69:46:C4,-33,-38,13125,1476831698
60:03:08:69:46:C4,-34,-39,13185,1476831758
60:03:08:69:46:C4,-34,-39,13245,1476831818
60:03:08:69:46:C4,-34,-39,13305,1476831878
60:03:08:69:46:C4,-33,-38,13390,1476831963
60:03:08:69:46:C4,-33,-38,13450,1476832023
60:03:08:69:46:C4,-34,-39,13510,1476832083
60:03:08:69:46:C4,-33,-38,13570,1476832143
60:03:08:69:46:C4,-33,-38,13630,1476832203
60:03:08:69:46:C4,-33,-38,13693,1476832267
60:03:08:69:46:C4,-34,-39,13753,1476832327
60:03:08:69:46:C4,-33,-38,13813,1476832387
60:03:08:69:46:C4,-33,-38,13873,1476832447
60:03:08:69:46:C4,-34,-39,13933,1476832507
60:03:08:69:46:C4,-34,-39,13997,1476832570
60:03:08:69:46:C4,-33,-38,14057,1476832630
60:03:08:69:46:C4,-34,-39,14117,1476832690
60:03:08:69:46:C4,-34,-39,14177,1476832750
60:03:08:69:46:C4,-34,-39,14237,1476832810
60:03:08:69:46:C4,-34,-39,14297,1476832870
60:03:08:69:46:C4,-34,-39,14357,1476832930
60:03:08:69:46:C4,-34,-39,14417,1476832990
60:03:08:69:46:C4,-34,-39,14477,1476833050
60:03:08:69:46:C4,-34,-39,14540,1476833113
60:03:08:69:46:C4,-34,-39,14600,1476833173
60:03:08:69:46:C4,-34,-39,14660,1476833233
60:03:08:69:46:C4,-34,-39,14720,1476833293
60:03:08:69:46:C4,-34,-39,14780,1476833353
60:03:08:69:46:C4,-34,-39,14843,1476833416
60:03:08:69:46:C4,-34,-39,14903,1476833476
60:03:08:69:46:C4,-34,-39,14963,1476833536
60:03:08:69:46:C4,-34,-39,15023,1476833596
60:03:08:69:46:C4,-34,-39,15083,1476833656
60:03:08:69:46:C4,-33,-38,15167,1476833740
60:03:08:69:46:C4,-33,-38,15227,1476833800
60:03:08:69:46:C4,-34,-39,15287,1476833860
60:03:08:69:46:C4,-34,-39,15347,1476833920
60:03:08:69:46:C4,-33,-38,15407,1476833980
60:03:08:69:46:C4,-33,-38,15470,1476834044
60:03:08:69:46:C4,-34,-39,15530,1476834104
60:03:08:69:46:C4,-34,-39,15590,1476834164
60:03:08:69:46:C4,-34,-39,15650,1476834224
60:03:08:69:46:C4,-34,-39,15710,1476834284
60:03:08:69:46:C4,-34,-39,15774,1476834347
60:03:08:69:46:C4,-34,-39,15834,1476834407
60:03:08:69:46:C4,-34,-39,15894,1476834467
60:03:08:69:46:C4,-34,-39,15954,1476834527
60:03:08:69:46:C4,-34,-39,16014,1476834587
60:03:08:69:46:C4,-34,-39,16074,1476834647
60:03:08:69:46:C4,-34,-39,16134,1476834707
60:03:08:69:46:C4,-34,-39,16194,1476834767
60:03:08:69:46:C4,-34,-39,16254,1476834827
60:03:08:69:46:C4,-34,-39,16317,1476834890
60:03:08:69:46:C4,-34,-39,16377,1476834950
60:03:08:69:46:C4,-34,-39,16437,1476835010
60:03:08:69:46:C4,-34,-39,16497,1476835070
60:03:08:69:46:C4,-34,-39,16557,1476835130
60:03:08:69:46:C4,-33,-38,16620,1476835193
60:03:08:69:46:C4,-33,-38,16680,1476835253
60:03:08:69:46:C4,-33,-38,16740,1476835313
60:03:08:69:46:C4,-33,-38,16800,1476835373
60:03:08:69:46:C4,-33,-38,16860,1476835433
60:03:08:69:46:C4,-33,-38,16944,1476835517
60:03:08:69:46:C4,-33,-38,17004,1476835577
60:03:08:69:46:C4,-33,-38,17064,1476835637
60:03:08:69:46:C4,-33,-38,17124,1476835697
60:03:08:69:46:C4,-33,-38,17184,1476835757
60:03:08:69:46:C4,-33,-38,17247,1476835820
60:03:08:69:46:C4,-33,-38,17307,1476835880
