Wed Oct 19 00:22:25 IST 2016
ra0       get_site_survey:
Ch  SSID                             BSSID               Security               Siganl(%)W-Mode  ExtCH  NT WPS DPID
11  Jalal                            78:54:2e:92:6b:92   WPA2PSK/TKIP           5        11b/g   NONE   In YES     
11  n@!n!k@                          78:54:2e:92:5c:d8   WPA2PSK/AES            42       11b/g/n BELOW  In YES     
11                                   e4:71:85:30:2f:4c   WPA1PSKWPA2PSK/TKIPAES 20       11b/g/n NONE   In  NO     

Wed Oct 19 09:15:12 IST 2016
ra0       get_site_survey:
Ch  SSID                             BSSID               Security               Siganl(%)W-Mode  ExtCH  NT WPS DPID
1   HILLOL/BD                        70:5a:9e:a6:a6:89   WPA1PSKWPA2PSK/TKIPAES 39       11b/g/n NONE   In  NO     
3   E3003                            18:a6:f7:7a:b4:32   WPA1PSKWPA2PSK/AES     31       11b/g/n ABOVE  In YES     
3   G1005                            c4:12:f5:ba:76:22   WPA1PSKWPA2PSK/AES     52       11b/g/n NONE   In  NO     
4   CHETAN                           30:b5:c2:2d:c0:e2   WPA2PSK/AES            63       11b/g/n ABOVE  In YES     
4   gowthami                         60:e3:27:55:ed:66   WPA2PSK/AES            52       11b/g/n ABOVE  In YES     
5   Ashish                           08:bd:43:64:f5:20   WPA2PSK/AES            10       11b/g/n NONE   In YES     
5   NETGEAR18                        28:c6:8e:db:25:3b   WPA2PSK/AES            29       11b/g   NONE   In YES     
6   santulucky                       e4:71:85:50:04:84   WPA1PSKWPA2PSK/TKIPAES 31       11b/g/n ABOVE  In  NO     
6   bee..                            e4:71:85:60:02:d4   WPA2PSK/AES            100      11b/g/n ABOVE  In  NO     
7   NETGEAR31                        80:37:73:b0:af:d8   WPA2PSK/AES            7        11b/g/n NONE   In YES     
8   G1004                            f4:f2:6d:2a:d1:a0   WPA1PSKWPA2PSK/AES     10       11b/g/n BELOW  In YES     
10  E-5013                           f4:f2:6d:2a:ce:54   WPA2PSK/AES            7        11b/g/n BELOW  In YES     
