Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTIME
1C:B0:94:7E:E4:3A,-81,-84,28,1476659861
1C:B0:94:7E:E4:3A,-81,-83,116,1476659948
34:4D:F7:46:9D:79,-64,-78,63,1476659948
1C:B0:94:7E:E4:3A,-81,-84,176,1476660008
34:4D:F7:46:9D:79,-64,-77,123,1476660008
1C:B0:94:7E:E4:3A,-81,-84,236,1476660068
34:4D:F7:46:9D:79,-65,-78,183,1476660068
1C:B0:94:7E:E4:3A,-81,-85,296,1476660128
34:4D:F7:46:9D:79,-64,-77,243,1476660128
1C:B0:94:7E:E4:3A,-81,-85,356,1476660188
34:4D:F7:46:9D:79,-64,-78,303,1476660188
1C:B0:94:7E:E4:3A,-81,-85,419,1476660251
34:4D:F7:46:9D:79,-64,-78,366,1476660251
1C:B0:94:7E:E4:3A,-81,-85,479,1476660311
34:4D:F7:46:9D:79,-65,-70,426,1476660311
1C:B0:94:7E:E4:3A,-81,-85,539,1476660371
34:4D:F7:46:9D:79,-73,-73,486,1476660371
1C:B0:94:7E:E4:3A,-82,-85,599,1476660431
1C:B0:94:7E:E4:3A,-82,-85,659,1476660491
34:4D:F7:46:9D:79,-78,-65,20,1476660491
1C:B0:94:7E:E4:3A,-82,-85,722,1476660555
34:4D:F7:46:9D:79,-82,-73,83,1476660555
1C:B0:94:7E:E4:3A,-82,-85,782,1476660615
34:4D:F7:46:9D:79,-76,-75,143,1476660615
1C:B0:94:7E:E4:3A,-82,-85,842,1476660675
34:4D:F7:46:9D:79,-74,-77,203,1476660675
1C:B0:94:7E:E4:3A,-82,-85,902,1476660735
34:4D:F7:46:9D:79,-84,-81,263,1476660735
1C:B0:94:7E:E4:3A,-82,-85,962,1476660795
34:4D:F7:46:9D:79,-84,-86,323,1476660795
1C:B0:94:7E:E4:3A,-82,-85,1025,1476660858
34:4D:F7:46:9D:79,-82,-86,25,1476660858
1C:B0:94:7E:E4:3A,-82,-85,1085,1476660918
34:4D:F7:46:9D:79,-82,-86,85,1476660918
1C:B0:94:7E:E4:3A,-82,-85,1145,1476660978
34:4D:F7:46:9D:79,-82,-86,145,1476660978
1C:B0:94:7E:E4:3A,-83,-86,1205,1476661038
34:4D:F7:46:9D:79,-82,-86,205,1476661038
1C:B0:94:7E:E4:3A,-83,-86,1265,1476661098
34:4D:F7:46:9D:79,-82,-86,265,1476661098
1C:B0:94:7E:E4:3A,-83,-86,1325,1476661158
1C:B0:94:7E:E4:3A,-83,-86,1385,1476661218
1C:B0:94:7E:E4:3A,-83,-86,1445,1476661278
34:4D:F7:46:9D:79,-87,-84,59,1476661278
1C:B0:94:7E:E4:3A,-83,-86,1505,1476661338
34:4D:F7:46:9D:79,-78,-79,119,1476661338
1C:B0:94:7E:E4:3A,-83,-86,1568,1476661401
34:4D:F7:46:9D:79,-70,-69,182,1476661401
1C:B0:94:7E:E4:3A,-83,-86,1628,1476661461
34:4D:F7:46:9D:79,-67,-71,242,1476661461
1C:B0:94:7E:E4:3A,-83,-86,1688,1476661521
34:4D:F7:46:9D:79,-69,-74,302,1476661521
1C:B0:94:7E:E4:3A,-83,-86,1748,1476661581
34:4D:F7:46:9D:79,-78,-74,362,1476661581
1C:B0:94:7E:E4:3A,-83,-87,1808,1476661641
34:4D:F7:46:9D:79,-74,-73,422,1476661641
1C:B0:94:7E:E4:3A,-83,-86,1871,1476661704
34:4D:F7:46:9D:79,-74,-73,485,1476661704
1C:B0:94:7E:E4:3A,-86,-85,1931,1476661764
34:4D:F7:46:9D:79,-74,-73,545,1476661764
1C:B0:94:7E:E4:3A,-86,-85,1991,1476661824
34:4D:F7:46:9D:79,-38,-52,50,1476661824
1C:B0:94:7E:E4:3A,-86,-85,2051,1476661884
34:4D:F7:46:9D:79,-38,-52,110,1476661884
1C:B0:94:7E:E4:3A,-85,-85,2111,1476661944
34:4D:F7:46:9D:79,-38,-52,170,1476661944
1C:B0:94:7E:E4:3A,-85,-85,2174,1476662007
34:4D:F7:46:9D:79,-38,-52,233,1476662007
1C:B0:94:7E:E4:3A,-84,-85,2234,1476662067
34:4D:F7:46:9D:79,-60,-56,18,1476662067
1C:B0:94:7E:E4:3A,-84,-85,2294,1476662127
34:4D:F7:46:9D:79,-71,-73,78,1476662127
1C:B0:94:7E:E4:3A,-81,-85,2354,1476662187
34:4D:F7:46:9D:79,-68,-60,138,1476662187
1C:B0:94:7E:E4:3A,-80,-85,2414,1476662247
34:4D:F7:46:9D:79,-66,-63,198,1476662247
1C:B0:94:7E:E4:3A,-80,-85,2477,1476662310
34:4D:F7:46:9D:79,-82,-76,261,1476662310
1C:B0:94:7E:E4:3A,-80,-85,2537,1476662370
34:4D:F7:46:9D:79,-77,-74,321,1476662370
1C:B0:94:7E:E4:3A,-80,-85,2597,1476662430
34:4D:F7:46:9D:79,-69,-70,381,1476662430
1C:B0:94:7E:E4:3A,-80,-85,2657,1476662490
34:4D:F7:46:9D:79,-80,-82,441,1476662490
1C:B0:94:7E:E4:3A,-80,-85,2717,1476662550
34:4D:F7:46:9D:79,-75,-73,501,1476662550
1C:B0:94:7E:E4:3A,-80,-85,2803,1476662636
34:4D:F7:46:9D:79,-75,-73,587,1476662636
1C:B0:94:7E:E4:3A,-80,-85,2863,1476662696
34:4D:F7:46:9D:79,-36,-49,30,1476662696
1C:B0:94:7E:E4:3A,-79,-86,2923,1476662756
34:4D:F7:46:9D:79,-57,-59,90,1476662756
1C:B0:94:7E:E4:3A,-80,-85,2983,1476662816
34:4D:F7:46:9D:79,-70,-77,150,1476662816
1C:B0:94:7E:E4:3A,-80,-85,3043,1476662876
34:4D:F7:46:9D:79,-85,-87,210,1476662876
1C:B0:94:7E:E4:3A,-80,-85,3103,1476662936
34:4D:F7:46:9D:79,-88,-85,270,1476662936
1C:B0:94:7E:E4:3A,-81,-88,3163,1476662996
34:4D:F7:46:9D:79,-88,-85,330,1476662996
1C:B0:94:7E:E4:3A,-81,-88,3223,1476663056
34:4D:F7:46:9D:79,-88,-85,390,1476663056
1C:B0:94:7E:E4:3A,-81,-88,3283,1476663116
34:4D:F7:46:9D:79,-88,-85,450,1476663116
1C:B0:94:7E:E4:3A,-81,-88,3346,1476663179
34:4D:F7:46:9D:79,-88,-85,513,1476663179
1C:B0:94:7E:E4:3A,-81,-88,3406,1476663239
1C:B0:94:7E:E4:3A,-81,-88,3466,1476663299
1C:B0:94:7E:E4:3A,-81,-88,3526,1476663359
1C:B0:94:7E:E4:3A,-81,-88,3586,1476663419
1C:B0:94:7E:E4:3A,-81,-88,3649,1476663482
1C:B0:94:7E:E4:3A,-81,-89,3709,1476663542
1C:B0:94:7E:E4:3A,-81,-89,3769,1476663602
1C:B0:94:7E:E4:3A,-81,-89,3829,1476663662
1C:B0:94:7E:E4:3A,-81,-89,3889,1476663722
1C:B0:94:7E:E4:3A,-81,-89,3952,1476663785
1C:B0:94:7E:E4:3A,-81,-89,4012,1476663845
1C:B0:94:7E:E4:3A,-81,-89,4072,1476663905
1C:B0:94:7E:E4:3A,-81,-89,4132,1476663965
1C:B0:94:7E:E4:3A,-81,-89,4192,1476664025
1C:B0:94:7E:E4:3A,-81,-89,4278,1476664111
1C:B0:94:7E:E4:3A,-81,-89,4338,1476664171
1C:B0:94:7E:E4:3A,-81,-89,4398,1476664231
1C:B0:94:7E:E4:3A,-81,-89,4458,1476664291
1C:B0:94:7E:E4:3A,-81,-89,4518,1476664351
1C:B0:94:7E:E4:3A,-81,-89,4581,1476664414
1C:B0:94:7E:E4:3A,-81,-89,4641,1476664474
1C:B0:94:7E:E4:3A,-81,-89,4701,1476664534
1C:B0:94:7E:E4:3A,-81,-89,4761,1476664594
1C:B0:94:7E:E4:3A,-81,-89,4821,1476664654
1C:B0:94:7E:E4:3A,-81,-89,4881,1476664714
1C:B0:94:7E:E4:3A,-81,-89,4941,1476664774
1C:B0:94:7E:E4:3A,-81,-89,5001,1476664834
1C:B0:94:7E:E4:3A,-81,-89,5061,1476664894
