Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTime
E6:71:85:62:06:70,-64,-67,54325,1476536074
AC:CF:85:28:94:E2,-84,-89,48457,1476536074
54:60:09:2B:81:08,-70,-75,21221,1476536074
54:60:09:F4:21:4A,-71,-70,18261,1476536074
A4:77:33:F8:A2:00,-41,-57,19380,1476536074
54:60:09:F2:D8:92,-73,-76,5929,1476536074
E6:71:85:62:06:38,-62,-64,54141,1476536134
E6:71:85:62:06:70,-65,-67,54385,1476536134
AC:CF:85:28:94:E2,-75,-82,48517,1476536134
54:60:09:2B:81:08,-62,-73,21281,1476536134
54:60:09:F4:21:4A,-80,-80,18321,1476536134
A4:77:33:F8:A2:00,-41,-56,19440,1476536134
54:60:09:F2:D8:92,-68,-73,5989,1476536134
E6:71:85:62:06:38,-61,-64,54201,1476536194
E6:71:85:62:06:70,-65,-68,54445,1476536194
AC:CF:85:28:94:E2,-76,-78,48577,1476536194
54:60:09:2B:81:08,-64,-74,21341,1476536194
54:60:09:F4:21:4A,-73,-72,18381,1476536194
A4:77:33:F8:A2:00,-42,-56,19500,1476536194
54:60:09:F2:D8:92,-79,-80,6049,1476536194
E6:71:85:62:06:38,-61,-64,54261,1476536254
E6:71:85:62:06:70,-61,-67,54505,1476536254
AC:CF:85:28:94:E2,-72,-78,48637,1476536254
54:60:09:2B:81:08,-64,-76,21401,1476536254
54:60:09:F4:21:4A,-69,-68,18441,1476536254
A4:77:33:F8:A2:00,-41,-56,19560,1476536254
54:60:09:F2:D8:92,-79,-80,6109,1476536254
E6:71:85:62:06:38,-62,-66,54321,1476536314
E6:71:85:62:06:70,-65,-67,54565,1476536314
AC:CF:85:28:94:E2,-71,-78,48697,1476536314
54:60:09:2B:81:08,-63,-74,21461,1476536314
54:60:09:F4:21:4A,-72,-72,18501,1476536314
A4:77:33:F8:A2:00,-41,-56,19620,1476536314
54:60:09:F2:D8:92,-80,-80,6169,1476536314
E6:71:85:62:06:38,-62,-67,54381,1476536374
E6:71:85:62:06:70,-65,-69,54625,1476536374
AC:CF:85:28:94:E2,-68,-72,48757,1476536374
54:60:09:2B:81:08,-66,-75,21521,1476536374
54:60:09:F4:21:4A,-71,-70,18561,1476536374
A4:77:33:F8:A2:00,-42,-56,19680,1476536374
54:60:09:F2:D8:92,-80,-80,6229,1476536374
E6:71:85:62:06:38,-61,-66,54441,1476536434
E6:71:85:62:06:70,-64,-67,54685,1476536434
AC:CF:85:28:94:E2,-66,-72,48817,1476536434
54:60:09:2B:81:08,-70,-76,21581,1476536434
54:60:09:F4:21:4A,-68,-68,18621,1476536434
A4:77:33:F8:A2:00,-41,-57,19740,1476536434
54:60:09:F2:D8:92,-80,-80,6289,1476536434
E6:71:85:62:06:38,-61,-67,54501,1476536494
E6:71:85:62:06:70,-63,-69,54745,1476536494
AC:CF:85:28:94:E2,-65,-71,48877,1476536494
54:60:09:2B:81:08,-67,-75,21641,1476536494
54:60:09:F4:21:4A,-67,-69,18681,1476536494
A4:77:33:F8:A2:00,-41,-57,19800,1476536494
54:60:09:F2:D8:92,-80,-80,6349,1476536494
E6:71:85:62:06:38,-62,-67,54594,1476536587
E6:71:85:62:06:70,-62,-73,54838,1476536587
AC:CF:85:28:94:E2,-70,-78,48970,1476536587
54:60:09:2B:81:08,-64,-75,21734,1476536587
54:60:09:F4:21:4A,-73,-73,18774,1476536587
A4:77:33:F8:A2:00,-42,-57,19893,1476536587
54:60:09:F2:D8:92,-79,-79,6442,1476536587
E6:71:85:62:06:38,-62,-66,54654,1476536647
E6:71:85:62:06:70,-66,-66,54898,1476536647
AC:CF:85:28:94:E2,-72,-77,49030,1476536647
54:60:09:2B:81:08,-66,-75,21794,1476536647
54:60:09:F4:21:4A,-76,-74,18834,1476536647
A4:77:33:F8:A2:00,-42,-57,19953,1476536647
54:60:09:F2:D8:92,-76,-78,6502,1476536647
E6:71:85:62:06:38,-62,-67,54714,1476536707
E6:71:85:62:06:70,-66,-68,54958,1476536707
AC:CF:85:28:94:E2,-74,-78,49090,1476536707
54:60:09:2B:81:08,-62,-74,21854,1476536707
54:60:09:F4:21:4A,-74,-71,18894,1476536707
A4:77:33:F8:A2:00,-41,-57,20013,1476536707
54:60:09:F2:D8:92,-72,-75,6562,1476536707
E6:71:85:62:06:38,-62,-66,54774,1476536767
E6:71:85:62:06:70,-67,-68,55018,1476536767
AC:CF:85:28:94:E2,-55,-64,49150,1476536767
54:60:09:2B:81:08,-65,-75,21914,1476536767
54:60:09:F4:21:4A,-74,-71,18954,1476536767
A4:77:33:F8:A2:00,-41,-57,20073,1476536767
54:60:09:F2:D8:92,-69,-74,6622,1476536767
E6:71:85:62:06:38,-62,-67,54834,1476536827
E6:71:85:62:06:70,-67,-73,55078,1476536827
AC:CF:85:28:94:E2,-63,-67,49210,1476536827
54:60:09:2B:81:08,-64,-77,21974,1476536827
54:60:09:F4:21:4A,-77,-74,19014,1476536827
A4:77:33:F8:A2:00,-43,-56,20133,1476536827
54:60:09:F2:D8:92,-80,-82,6682,1476536827
E6:71:85:62:06:38,-59,-65,54897,1476536890
E6:71:85:62:06:70,-67,-68,55141,1476536890
AC:CF:85:28:94:E2,-62,-68,49273,1476536890
54:60:09:2B:81:08,-64,-76,22037,1476536890
54:60:09:F4:21:4A,-74,-75,19077,1476536890
A4:77:33:F8:A2:00,-42,-57,20196,1476536890
E6:71:85:62:06:38,-62,-66,54957,1476536950
E6:71:85:62:06:70,-66,-64,55201,1476536950
AC:CF:85:28:94:E2,-72,-73,49333,1476536950
54:60:09:2B:81:08,-63,-76,22097,1476536950
54:60:09:F4:21:4A,-74,-69,19137,1476536950
A4:77:33:F8:A2:00,-41,-57,20256,1476536950
E6:71:85:62:06:38,-62,-67,55017,1476537010
E6:71:85:62:06:70,-66,-71,55261,1476537010
AC:CF:85:28:94:E2,-72,-71,49393,1476537010
54:60:09:2B:81:08,-67,-77,22157,1476537010
54:60:09:F4:21:4A,-78,-75,19197,1476537010
A4:77:33:F8:A2:00,-41,-57,20316,1476537010
E6:71:85:62:06:38,-61,-66,55077,1476537070
E6:71:85:62:06:70,-66,-70,55321,1476537070
AC:CF:85:28:94:E2,-67,-75,49453,1476537070
54:60:09:2B:81:08,-65,-76,22217,1476537070
54:60:09:F4:21:4A,-82,-82,19257,1476537070
A4:77:33:F8:A2:00,-42,-57,20376,1476537070
E6:71:85:62:06:38,-62,-66,55137,1476537130
E6:71:85:62:06:70,-67,-71,55381,1476537130
AC:CF:85:28:94:E2,-69,-76,49513,1476537130
54:60:09:2B:81:08,-65,-78,22277,1476537130
54:60:09:F4:21:4A,-80,-83,19317,1476537130
A4:77:33:F8:A2:00,-42,-57,20436,1476537130
Client_MAC,Rssi0,Rssi1,Connection_Time,EpocTIME
E6:71:85:62:06:38,-61,-67,111,1476477386
E6:71:85:62:06:70,-66,-73,46,1476477386
AC:CF:85:28:94:E2,-59,-65,76,1476477386
54:60:09:2B:81:08,-70,-78,86,1476477386
54:60:09:F4:21:4A,-76,-78,85,1476477386
A4:77:33:F8:A1:B8,-73,-77,85,1476477386
54:60:09:F2:D8:92,-77,-81,84,1476477386
A4:77:33:F8:A2:00,-40,-58,82,1476477386
E6:71:85:62:06:38,-61,-66,171,1476477446
E6:71:85:62:06:70,-64,-72,106,1476477446
AC:CF:85:28:94:E2,-59,-64,136,1476477446
54:60:09:2B:81:08,-69,-78,146,1476477446
54:60:09:F4:21:4A,-78,-78,145,1476477446
A4:77:33:F8:A1:B8,-71,-74,145,1476477446
54:60:09:F2:D8:92,-68,-77,144,1476477446
A4:77:33:F8:A2:00,-41,-58,142,1476477446
E6:71:85:62:06:38,-61,-67,231,1476477506
E6:71:85:62:06:70,-65,-73,166,1476477506
AC:CF:85:28:94:E2,-64,-69,196,1476477506
54:60:09:2B:81:08,-69,-78,206,1476477506
54:60:09:F4:21:4A,-83,-80,205,1476477506
A4:77:33:F8:A1:B8,-71,-74,205,1476477506
54:60:09:F2:D8:92,-67,-76,204,1476477506
A4:77:33:F8:A2:00,-41,-58,202,1476477506
E6:71:85:62:06:38,-61,-67,291,1476477566
E6:71:85:62:06:70,-68,-73,226,1476477566
AC:CF:85:28:94:E2,-64,-68,256,1476477566
54:60:09:2B:81:08,-72,-78,266,1476477566
54:60:09:F4:21:4A,-78,-80,265,1476477566
A4:77:33:F8:A1:B8,-74,-75,265,1476477566
54:60:09:F2:D8:92,-74,-80,264,1476477566
A4:77:33:F8:A2:00,-41,-58,262,1476477566
E6:71:85:62:06:38,-61,-67,351,1476477626
E6:71:85:62:06:70,-62,-67,286,1476477626
AC:CF:85:28:94:E2,-64,-68,316,1476477626
54:60:09:2B:81:08,-74,-78,326,1476477626
54:60:09:F4:21:4A,-82,-81,325,1476477626
A4:77:33:F8:A1:B8,-72,-74,325,1476477626
54:60:09:F2:D8:92,-73,-79,324,1476477626
A4:77:33:F8:A2:00,-41,-58,322,1476477626
E6:71:85:62:06:38,-59,-65,414,1476477689
E6:71:85:62:06:70,-63,-68,349,1476477689
AC:CF:85:28:94:E2,-67,-70,379,1476477689
54:60:09:2B:81:08,-74,-78,389,1476477689
54:60:09:F4:21:4A,-79,-79,388,1476477689
54:60:09:F2:D8:92,-73,-79,387,1476477689
A4:77:33:F8:A2:00,-41,-58,385,1476477689
E6:71:85:62:06:38,-60,-66,474,1476477749
E6:71:85:62:06:70,-63,-68,409,1476477749
AC:CF:85:28:94:E2,-67,-71,439,1476477749
54:60:09:2B:81:08,-74,-78,449,1476477749
54:60:09:F4:21:4A,-80,-81,448,1476477749
54:60:09:F2:D8:92,-73,-79,447,1476477749
A4:77:33:F8:A2:00,-41,-58,445,1476477749
E6:71:85:62:06:38,-60,-66,534,1476477809
E6:71:85:62:06:70,-63,-68,469,1476477809
AC:CF:85:28:94:E2,-66,-70,499,1476477809
54:60:09:2B:81:08,-74,-78,509,1476477809
54:60:09:F4:21:4A,-79,-79,508,1476477809
54:60:09:F2:D8:92,-73,-79,507,1476477809
A4:77:33:F8:A2:00,-41,-58,505,1476477809
E6:71:85:62:06:38,-60,-66,594,1476477869
E6:71:85:62:06:70,-62,-67,529,1476477869
AC:CF:85:28:94:E2,-66,-70,559,1476477869
54:60:09:2B:81:08,-74,-78,569,1476477869
54:60:09:F4:21:4A,-79,-79,568,1476477869
54:60:09:F2:D8:92,-74,-80,567,1476477869
A4:77:33:F8:A2:00,-41,-58,565,1476477869
E6:71:85:62:06:38,-61,-66,654,1476477929
E6:71:85:62:06:70,-65,-70,589,1476477929
AC:CF:85:28:94:E2,-65,-69,619,1476477929
54:60:09:2B:81:08,-74,-78,629,1476477929
54:60:09:F4:21:4A,-80,-78,628,1476477929
54:60:09:F2:D8:92,-74,-79,627,1476477929
A4:77:33:F8:A2:00,-41,-58,625,1476477929
E6:71:85:62:06:38,-60,-66,748,1476478023
E6:71:85:62:06:70,-63,-67,683,1476478023
AC:CF:85:28:94:E2,-64,-69,713,1476478023
54:60:09:2B:81:08,-74,-78,723,1476478023
54:60:09:F4:21:4A,-81,-81,722,1476478023
54:60:09:F2:D8:92,-73,-79,721,1476478023
A4:77:33:F8:A2:00,-41,-58,719,1476478023
E6:71:85:62:06:38,-61,-67,808,1476478083
E6:71:85:62:06:70,-63,-67,743,1476478083
AC:CF:85:28:94:E2,-65,-71,773,1476478083
54:60:09:2B:81:08,-74,-78,783,1476478083
54:60:09:F4:21:4A,-81,-81,782,1476478083
